"Rank","Player","Team","Bye","POS","Yahoo","Fantrax","FFC","Sleeper","AVG"
"1","Justin Jefferson","MIN","13","WR1","","","","","1.0"
"2","Christian McCaffrey","SF","9","RB1","","","","","2.3"
"3","Ja'Marr Chase","CIN","7","WR2","","","","","2.7"
"4","Austin Ekeler","LAC","5","RB2","","","","","5.3"
"5","Travis Kelce","KC","10","TE1","","","","","5.7"
"6","Cooper Kupp","LAR","10","WR3","","","","","5.7"
"7","Tyreek Hill","MIA","10","WR4","","","","","6.3"
"8","Bijan Robinson","ATL","11","RB3","","","","","9.0"
"9","Saquon Barkley","NYG","13","RB4","","","","","9.3"
"10","Stefon Diggs","BUF","13","WR5","","","","","10.7"
"11","Jonathan Taylor","IND","11","RB5","","","","","12.0"
"12","CeeDee Lamb","DAL","7","WR6","","","","","12.0"
"13","Davante Adams","LV","13","WR7","","","","","13.0"
"14","A.J. Brown","PHI","10","WR8","","","","","13.3"
"15","Amon-Ra St. Brown","DET","9","WR9","","","","","16.0"
"16","Nick Chubb","CLE","5","RB6","","","","","16.7"
"17","Josh Jacobs","LV","13","RB7","","","","","19.0"
"18","Garrett Wilson","NYJ","7","WR10","","","","","19.3"
"19","Tony Pollard","DAL","7","RB8","","","","","20.3"
"20","Josh Allen","BUF","13","QB1","","","","","20.7"
"21","Patrick Mahomes II","KC","10","QB2","","","","","20.7"
"22","Jaylen Waddle","MIA","10","WR11","","","","","22.0"
"23","Derrick Henry","TEN","7","RB9","","","","","22.3"
"24","Jalen Hurts","PHI","10","QB3","","","","","23.0"
"25","DeVonta Smith","PHI","10","WR12","","","","","25.0"
"26","Rhamondre Stevenson","NE","11","RB10","","","","","26.0"
"27","Tee Higgins","CIN","7","WR13","","","","","27.3"
"28","Chris Olave","NO","11","WR14","","","","","28.3"
"29","Breece Hall","NYJ","7","RB11","","","","","28.7"
"30","Najee Harris","PIT","6","RB12","","","","","30.0"
"31","Travis Etienne Jr.","JAC","9","RB13","","","","","31.0"
"32","DK Metcalf","SEA","5","WR15","","","","","32.3"
"33","Mark Andrews","BAL","13","TE2","","","","","32.7"
"34","Kenneth Walker III","SEA","5","RB14","","","","","37.3"
"35","Joe Burrow","CIN","7","QB4","","","","","37.3"
"36","Deebo Samuel","SF","9","WR16","","","","","37.7"
"37","Jahmyr Gibbs","DET","9","RB15","","","","","37.7"
"38","Amari Cooper","CLE","5","WR17","","","","","38.7"
"39","Lamar Jackson","BAL","13","QB5","","","","","39.0"
"40","DeAndre Hopkins","","","WR18","","","","","42.3"
