"Player","Team","Pass Completions"
"Tom Brady ","FA","490"
"Justin Herbert ","LAC","477"
"Patrick Mahomes II ","KC","435"
"Kirk Cousins ","MIN","424"
"Joe Burrow ","CIN","414"
"Geno Smith ","SEA","399"
"Trevor Lawrence ","JAC","387"
"Jared Goff ","DET","382"
"Josh Allen ","BUF","359"
"Aaron Rodgers ","NYJ","350"
"Daniel Jones ","NYG","317"
"Matt Ryan ","FA","309"
"Jalen Hurts ","PHI","306"
"Derek Carr ","NO","305"
"Davis Mills ","HOU","292"
"Russell Wilson ","DEN","292"
"Mac Jones ","NE","288"
"Dak Prescott ","DAL","261"
"Kyler Murray ","ARI","259"
"Tua Tagovailoa ","MIA","259"
"Andy Dalton ","CAR","252"
"Kenny Pickett ","PIT","245"
"Jacoby Brissett ","WAS","236"
"Ryan Tannehill ","TEN","212"
"Jimmy Garoppolo ","LV","207"
"Matthew Stafford ","LAR","206"
"Lamar Jackson ","BAL","203"
"Baker Mayfield ","TB","201"
"Justin Fields ","CHI","192"
"Marcus Mariota ","PHI","184"
"Carson Wentz ","FA","172"
"Taylor Heinicke ","ATL","161"
"Zach Wilson ","NYJ","132"
"Mitch Trubisky ","PIT","117"
"Brock Purdy ","SF","114"
"Joe Flacco ","FA","110"
"Mike White ","MIA","103"
"Deshaun Watson ","CLE","99"
"Cooper Rush ","DAL","94"
"Colt McCoy ","ARI","90"
"Sam Darnold ","SF","82"
"Tyler Huntley ","BAL","75"
"Desmond Ridder ","ATL","73"
"Jameis Winston ","NO","73"
"Bailey Zappe ","NE","65"
"Sam Ehlinger ","IND","64"
"P.J. Walker ","CHI","63"
"Skylar Thompson ","MIA","60"
"Jarrett Stidham ","DEN","53"
"Brett Rypien ","LAR","53"
"Teddy Bridgewater ","FA","49"
"Kyle Allen ","BUF","46"
"Trace McSorley ","NE","45"
"Gardner Minshew II ","IND","44"
"Joshua Dobbs ","CLE","40"
"John Wolford ","TB","38"
"David Blough ","ARI","38"
"Malik Willis ","TEN","31"
"Nick Foles ","FA","25"
"Davis Webb ","FA","23"
""
"Player","Team","Pass Attempts"
"Tom Brady ","FA","733"
"Justin Herbert ","LAC","699"
"Patrick Mahomes II ","KC","648"
"Kirk Cousins ","MIN","643"
"Joe Burrow ","CIN","606"
"Jared Goff ","DET","587"
